91.9668,91.8014,91.4108,93.7857,93.6303,93.4848,93.1293,95.3770,92.6520,92.9601,91.9628,92.2349,91.7198,91.9593,91.0523,91.6196,100.4482,103.8163,107.1848,110.5491,113.9046,117.2467,120.5711,123.8733,127.1493,130.3953,133.6077,136.7833,139.9192,149.0851
90.0706,90.1308,89.9671,89.5793,91.9580,91.8075,91.6679,90.9325,91.2480,90.2590,90.5402,90.0348,90.2847,89.3888,89.9678,88.4454,97.0057,102.2022,105.5840,108.9620,112.3314,115.6877,119.0263,122.3430,125.6335,128.8941,132.1212,135.3115,138.4620,145.8222
88.6071,88.2029,88.2649,88.1041,87.7204,90.1044,89.1776,89.5001,88.5190,88.8090,88.3133,88.5736,87.6888,88.2795,86.7695,94.7878,93.1713,98.7184,103.9621,107.3544,110.7385,114.1096,117.4632,120.7950,124.1007,127.3765,130.6189,133.8244,136.9902,143.9959
86.8743,86.7065,86.3042,86.3694,86.2131,85.8350,87.7154,86.7418,87.0403,86.5541,86.8246,85.9509,86.5535,85.0559,85.2600,91.7411,96.6617,94.9079,100.4405,105.7261,109.1255,112.5122,115.8815,119.2291,122.5507,125.8424,129.1007,132.3221,135.5037,142.4101
85.1144,84.9397,84.7739,84.3751,84.4451,84.2948,83.9240,85.2329,84.7558,85.0364,82.7651,84.7881,83.3032,83.5205,90.0719,90.0500,93.5167,98.4225,96.6534,102.1704,107.4924,110.8954,114.2811,117.6452,120.9834,124.2918,127.5666,130.8045,134.0025,140.8160
83.0404,83.1446,82.9721,82.8100,82.4163,82.4928,82.3504,81.9887,83.2077,82.3558,80.9590,81.5097,81.7405,88.3652,88.5670,91.8882,91.8511,95.3022,100.1918,98.4063,103.9065,109.2590,112.6620,116.0434,119.3989,122.7245,126.0166,129.2716,132.4868,139.2173
80.1318,81.0339,81.1405,80.9720,80.8155,80.4289,80.5139,80.3812,80.0306,81.1334,79.1231,79.9181,79.3338,86.8347,90.2241,90.4102,93.7154,93.6616,97.0957,101.9679,100.1648,105.6471,111.0239,114.4234,117.7970,121.1407,124.4507,127.7236,130.9565,137.6177
79.5950,78.0873,78.9921,79.1031,78.9406,78.7917,78.4142,78.5098,78.3891,75.0517,77.2566,77.4819,85.0621,84.2370,88.7220,92.0948,92.2638,95.5514,95.4796,98.8953,103.7489,101.9270,107.3904,112.7854,116.1779,119.5403,122.8690,126.1605,129.4117,136.0214
73.3707,77.5112,76.0064,76.9159,77.0334,76.8792,76.6429,76.3742,75.8679,73.1393,75.3589,74.8465,82.6606,86.9953,86.1532,90.6206,93.9753,94.1256,97.3941,97.3030,100.6990,105.5329,103.6911,109.1346,114.5414,117.9235,121.2716,124.5824,127.8527,134.1269
71.6882,71.2459,75.3895,73.8899,74.8065,74.6475,74.7896,73.8946,71.3109,71.1938,72.9167,80.8168,79.8278,84.6245,88.9412,88.0803,92.5283,95.8632,95.9934,99.2414,99.1296,102.5049,107.3179,105.4552,110.8778,116.2903,119.6587,122.9894,126.2795,132.1787
